"Monk-1, 2 hidden layers {10, 4}, batch",,,
Eta,Alfa,Lambda,Error
0.01,0.001,0.001,0.422619
0.01,0.0007,0.001,0.436905
0.01,0.0003,0.001,0.433333
0.01,9.00E-05,0.001,0.484524
0.01,0.001,0.0007,0.478571
0.01,0.0007,0.0007,0.45119
0.01,0.0003,0.0007,0.469048
0.01,9.00E-05,0.0007,0.469048
0.01,0.001,0.0003,0.544048
0.01,0.0007,0.0003,0.47619
0.01,0.0003,0.0003,0.460714
0.01,9.00E-05,0.0003,0.436905
0.01,0.001,9.00E-05,0.667857
0.01,0.0007,9.00E-05,0.504762
0.01,0.0003,9.00E-05,0.469048
0.01,9.00E-05,9.00E-05,0.52619
0.03,0.001,0.001,0.45
0.03,0.0007,0.001,0.404762
0.03,0.0003,0.001,0.421429
0.03,9.00E-05,0.001,0.45
0.03,0.001,0.0007,0.502381
0.03,0.0007,0.0007,0.469048
0.03,0.0003,0.0007,0.402381
0.03,9.00E-05,0.0007,0.484524
0.03,0.001,0.0003,0.714286
0.03,0.0007,0.0003,0.580952
0.03,0.0003,0.0003,0.645238
0.03,9.00E-05,0.0003,0.57619
0.03,0.001,9.00E-05,0.703571
0.03,0.0007,9.00E-05,0.695238
0.03,0.0003,9.00E+00,0.708333
0.03,9.00E-05,9.00E-05,0.508333
0.1,0.001,0.001,0.705952
0.1,0.0007,0.001,0.764286
0.1,0.0003,0.001,0.864286
0.1,9.00E-05,0.001,0.642857
0.1,0.001,0.0007,0.853571
0.1,0.0007,0.0007,0.822619
0.1,0.0003,0.0007,0.913095
0.1,9.00E-05,0.0007,0.902381
0.1,0.001,0.0003,0.914286
0.1,0.0007,0.0003,0.878572
0.1,0.0003,0.0003,0.892857
0.1,9.00E-05,0.0003,0.904762
0.1,0.001,9.00E-05,0.871429
0.1,0.0007,9.00E-05,0.944048
0.1,0.0003,9.00E-05,0.845238
0.1,9.00E-05,9.00E-05,0.883333
0.3,0.001,0,0.992857
0.3,0.0007,0.001,1
0.3,0.0003,0.001,0.991667
0.3,9.00E-05,0.001,0.875
0.3,0.001,0.0007,0.95
0.3,0.0007,0.0007,0.983333
0.3,0.0003,0.0007,0.953571
0.3,9.00E-05,0.0007,0.984524
0.3,0.001,0.0003,0.983333
0.3,0.0007,0.0003,0.958333
0.3,0.0003,0.0003,0.966667
0.3,9.00E-05,0.0003,0.933333
0.3,0.001,9.00E-05,0.894048
0.3,0.0007,9.00E-05,0.797619
0.3,0.0003,9.00E-05,0.9
0.3,9.00E-05,9.00E+00,0.941667
0.7,0.001,0.001,1
0.7,0.0007,0.001,0.934524
0.7,0.0003,0.001,0.983333
0.7,9.00E-05,0.001,0.992857
0.7,0.001,0.0007,0.991667
0.7,0.0007,0.0007,0.992857
0.7,0.0003,0.0007,1
0.7,9.00E-05,0.0007,1
0.7,0.001,0.0003,0.992857
0.7,0.0007,0.0003,0.897619
0.7,0.0003,0.0003,0.983333
0.7,9.00E-05,0.0003,0.983333
0.7,0.001,9.00E-05,0.946429
0.7,0.0007,9.00E-05,0.9
0.7,0.0003,9.00E-05,0.961905
0.7,9.00E-05,9.00E-05,0.977381
